provinsi;kode_provinsi;tahun;luas panen (ha);produktivitas (ku/ha);produksi (ton);jumlah penduduk ;luas provinsi (ha);produksi beras (ton);proyeksi konsumsi rumah tangga(ton);surplus/ defisit(ton);surplus/ defisit(%)*;harga beras(Rp);suhu;curah hujan (mm);penyinaran matahari (%);;
NUSA TENGGARA TIMUR;53;2020;181.691;39.90;725.024;5.325.600;4.793.154;422.482;559.184;-136.702;-24,45;11.270;27,33;;;;
NUSA TENGGARA TIMUR;53;2021;174.900;41.85;731.878;5.387.700;4.871.810;428.683;577.997;-149.314;-25,83;9.980;26,99;;;;
NUSA TENGGARA TIMUR;53;2022;183.092;41.29;756.050;5.446.300;4.871.810;442.842;631.880;-189.038;-29,92;10.361;27,30;;;;
PAPUA;91;2018;52.412;42.57;223.119;3.300.200;31.903.605;126.742;200.095;-73.353;-36,66;12.900;25,89;;;;
PAPUA;91;2019;54.132;43.48;235.340;3.347.100;31.903.605;133.684;202.433;-68.749;-33,96;12.650;26,24;;;;
PAPUA;91;2020;52.728;31.48;166.002;4.303.700;31.903.605;94.297;241.180;-146.883;-60,90;12.370;26,26;;;;
PAPUA;91;2021;64.985;44.05;286.280;4.355.500;31.903.605;163.462;221.082;-57.620;-26,06;10.250;26,42;;;;
PAPUA;91;2022;49.742;38.99;193.944;4.418.600;31.903.605;110.739;241.692;-130.953;-54,18;11.888;26,60;;;;
PAPUA BARAT;92;2018;7.767;32.15;24.967;941.400;10.295.515;8.138;78.975;-70.837;-89,70;12.960;27,60;;;;
PAPUA BARAT;92;2019;7.192;41.63;29.944;936.600;10.295.515;17.899;75.045;-57.146;-76,15;13.650;27,02;;;;
PAPUA BARAT;92;2020;7.571;32.20;24.378;1.134.100;10.295.515;14.572;85.055;-70.483;-82,87;12.570;27,62;;;;
PAPUA BARAT;92;2021;6.415;41.98;26.927;1.156.800;10.295.515;16.179;94.676;-78.497;-82,91;12.808;27,10;;;;
PAPUA BARAT;92;2022;5.461;43.89;23.964;1.183.300;10.295.515;14.400;103.502;-89.102;-86,09;12.500;27,90;;;;
RIAU;14;2018;71.448;37.28;266.376;6.717.600;8.702.366;152.087;564.065;-411.978;-73,04;12.590;27,54;;;;
RIAU;14;2019;63.142;36.56;230.874;6.835.100;8.702.366;131.817;492.127;-360.310;-73,21;12.890;27,60;;;;
RIAU;14;2020;64.733;37.64;243.685;6.394.100;9.012.876;139.131;471.116;-331.985;-70,47;12.630;27,35;;;;
RIAU;14;2021;53.062;40.98;217.459;6.493.600;8.702.366;124.801;477.669;-352.868;-73,87;10.250;26,90;;;;
RIAU;14;2022;51.054;41.83;213.557;6.614.400;8.993.590;122.560;522.199;-399.639;-76,53;11.750;26,80;;;;
SULAWESI BARAT;76;2018;65.304;48.46;316.478;1.340.100;1.678.718;186.370;152.870;33.500;21,91;10.200;27,90;;;;
SULAWESI BARAT;76;2019;62.581;47.96;300.142;1.359.200;1.678.718;171.491;139.943;31.548;22,54;10.160;28,07;;;;
SULAWESI BARAT;76;2020;64.826;53.23;345.050;1.419.200;1.678.718;197.150;140.333;56.817;40,49;10.170;28,10;;;;
SULAWESI BARAT;76;2021;59.763;52.05;311.072;1.436.800;1.678.718;178.657;146.041;32.616;22,33;9.200;27,70;;;;
SULAWESI BARAT;76;2022;69.324;50.99;353.513;1.458.600;1.659.475;203.030;159.655;43.375;27,17;10.300;27,40;;;;
SULAWESI SELATAN;73;2018;1.185.484;50.21;5.952.616;8.748.100;4.671.748;3.280.000;869.045;2.410.955;277,43;10.890;27,10;;;;
SULAWESI SELATAN;73;2019;1.010.189;50.03;5.054.167;8.819.500;4.671.748;2.885.324;804.338;2.080.986;258,72;9.610;27,10;;;;
SULAWESI SELATAN;73;2020;976.258;48.23;4.708.465;9.073.500;4.671.748;2.687.970;823.149;1.864.821;226,55;9.830;26,50;;;;
SULAWESI SELATAN;73;2021;985.158;51.67;5.090.637;9.139.500;4.671.748;2.921.193;870.815;2.050.378;235,46;9.197;26,90;;;;
SULAWESI SELATAN;73;2022;1.038.084;51.64;5.360.169;9.225.800;4.570.416;3.080.000;951.995;2.128.005;223,53;9.466;26,70;;;;
SULAWESI TENGAH;72;2018;201.279;46.05;926.979;3.001.900;6.184.129;560.000;312.065;247.935;79,45;10.140;27,40;;;;
SULAWESI TENGAH;72;2019;186.100;45.40;844.904;3.042.100;6.184.129;49.616;280.725;-231.109;-82,33;10.200;27,02;;;;
SULAWESI TENGAH;72;2020;178.067;44.49;792.249;2.985.700;6.184.129;465.239;274.090;191.149;69,74;10.660;27,60;;;;
SULAWESI TENGAH;72;2021;182.187;47.59;867.013;3.021.900;6.184.129;511.779;283.211;228.568;80,71;9.033;27,00;;;;
SULAWESI TENGAH;72;2022;168.993;44.05;744.409;3.066.100;6.184.129;455.000;309.613;145.387;46,96;11.062;26,70;;;;
SULAWESI TENGGARA;74;2018;136.674;39.43;538.876;2.623.600;3.806.770;285.100;278.340;6.760;2,43;9.960;27,52;;;;
SULAWESI TENGGARA;74;2019;132.344;39.27;519.707;2.663.700;3.806.770;296.919;240.372;56.547;23,52;10.230;27,52;;;;
SULAWESI TENGGARA;74;2020;133.697;39.85;532.773;2.624.900;3.806.770;304.385;238.759;65.626;27,49;10.290;27,30;;;;
